id;nombre;direccion;email;fono
1;innovate intent provided;as psst;Salvador.RosalesCaballero95@yahoo.com;expostulate
2;knowingly;drive furthermore;Cesar19@hotmail.com;mmm annual
3;sheepishly yum;wherever yearningly put;Ignacio.AgostoHurtado@gmail.com;plus ragged
4;warmly mount;puritan honestly;German.SaizPaz@hotmail.com;after unless
5;shocked inside;for;Ariadna97@yahoo.com;hence unsightly
6;drat;by;Gabriela97@gmail.com;if schlep monocle
7;gadzooks;bell;Cecilia_AlonsoHinojosa62@yahoo.com;apropos selfishly
8;descent disposer;soup potentially steeple;Rocio.VargasMiramontes74@yahoo.com;provided
9;overcoat suburban;hearten massage;Reina12@hotmail.com;rural aggravating afore
10;whisper well-off;provision duh;Oscar91@gmail.com;behind
