id;nombre;rol;rut;admin
1;metabolise;toward emphasise baa;coordinated huzzah;true
2;accurate;upward;grimy;false
3;always now;victoriously apud boo;thigh bah physically;false
4;petal hollow on;absent;usable but;true
5;whether;aw awkwardly sand;although tousle;false
6;catalyst;ligate;lighthearted;false
7;ill-fated sheepishly substantiate;afterwards ah unethically;precedent formula where;true
8;busily unto down;sniveling doting straight;shush yowza;true
9;nor obsess;oh;meh etch napkin;false
10;ah promptly because;editor tightly;whenever how;true
